capability_id,capability,cost,eff_min,eff_mode,eff_max
CTRL-0103,CTRL-0103,NA,NA,NA,NA
CTRL-0104,CTRL-0104,NA,NA,NA,NA
CTRL-0105,CTRL-0105,NA,NA,NA,NA
CTRL-0106,CTRL-0106,NA,NA,NA,NA
CTRL-0201,CTRL-0201,NA,NA,NA,NA
CTRL-0202,CTRL-0202,NA,NA,NA,NA
CTRL-0203,CTRL-0203,NA,NA,NA,NA
CTRL-0204,CTRL-0204,NA,NA,NA,NA
CTRL-0205,CTRL-0205,NA,NA,NA,NA
CTRL-0206,CTRL-0206,NA,NA,NA,NA
CTRL-0301,CTRL-0301,NA,NA,NA,NA
CTRL-0302,CTRL-0302,NA,NA,NA,NA
CTRL-0303,CTRL-0303,NA,NA,NA,NA
CTRL-0304,CTRL-0304,NA,NA,NA,NA
CTRL-0305,CTRL-0305,NA,NA,NA,NA
CTRL-0306,CTRL-0306,NA,NA,NA,NA
CTRL-0401,CTRL-0401,NA,NA,NA,NA
CTRL-0402,CTRL-0402,NA,NA,NA,NA
CTRL-0403,CTRL-0403,NA,NA,NA,NA
CTRL-0404,CTRL-0404,NA,NA,NA,NA
CTRL-0405,CTRL-0405,NA,NA,NA,NA
CTRL-0406,CTRL-0406,NA,NA,NA,NA
CTRL-0501,CTRL-0501,NA,NA,NA,NA
CTRL-0502,CTRL-0502,NA,NA,NA,NA
CTRL-0503,CTRL-0503,NA,NA,NA,NA
CTRL-0504,CTRL-0504,NA,NA,NA,NA
CTRL-0505,CTRL-0505,NA,NA,NA,NA
CTRL-0506,CTRL-0506,NA,NA,NA,NA
CTRL-0601,CTRL-0601,NA,NA,NA,NA
CTRL-0602,CTRL-0602,NA,NA,NA,NA
CTRL-0603,CTRL-0603,NA,NA,NA,NA
CTRL-0604,CTRL-0604,NA,NA,NA,NA
CTRL-0605,CTRL-0605,NA,NA,NA,NA
CTRL-0606,CTRL-0606,NA,NA,NA,NA
CTRL-0701,CTRL-0701,NA,NA,NA,NA
CTRL-0702,CTRL-0702,NA,NA,NA,NA
CTRL-0703,CTRL-0703,NA,NA,NA,NA
CTRL-0704,CTRL-0704,NA,NA,NA,NA
CTRL-0705,CTRL-0705,NA,NA,NA,NA
CTRL-0706,CTRL-0706,NA,NA,NA,NA
CTRL-0801,CTRL-0801,NA,NA,NA,NA
CTRL-0802,CTRL-0802,NA,NA,NA,NA
CTRL-0803,CTRL-0803,NA,NA,NA,NA
CTRL-0804,CTRL-0804,NA,NA,NA,NA
CTRL-0805,CTRL-0805,NA,NA,NA,NA
CTRL-0806,CTRL-0806,NA,NA,NA,NA
CTRL-0101,Firewall perimetral,NA,60,80,95
CTRL-0102,Antivirus EDR,NA,50,70,90
