scenario_id,capability_id,ale_without,scenario_description,tcomm,domain_id,ale_inherent,ale_residual,marginal_savings,reduction_pct,capability
SINPE-001,CTRL-0101,6402875.806847654,SINPE del Segmento 1,Ciberdelincuentes,SINPE,11006965.104217088,5944520.181689899,458355.62515775487,0.07158589967769785,CTRL-0101
SINPE-001,CTRL-0102,6402875.806847654,SINPE del Segmento 1,Ciberdelincuentes,SINPE,11006965.104217088,5944520.181689899,458355.62515775487,0.07158589967769785,CTRL-0102
SINPE-001,CTRL-0103,6402875.806847654,SINPE del Segmento 1,Ciberdelincuentes,SINPE,11006965.104217088,5944520.181689899,458355.62515775487,0.07158589967769785,CTRL-0103
SINPE-001,CTRL-0104,6402875.806847654,SINPE del Segmento 1,Ciberdelincuentes,SINPE,11006965.104217088,5944520.181689899,458355.62515775487,0.07158589967769785,CTRL-0104
SINPE-001,CTRL-0105,6402875.806847654,SINPE del Segmento 1,Ciberdelincuentes,SINPE,11006965.104217088,5944520.181689899,458355.62515775487,0.07158589967769785,CTRL-0105
SINPE-001,CTRL-0106,6402875.806847654,SINPE del Segmento 1,Ciberdelincuentes,SINPE,11006965.104217088,5944520.181689899,458355.62515775487,0.07158589967769785,CTRL-0106
SINPE-002,CTRL-0201,2794351.155415046,SINPE del Segmento 2,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0201
SINPE-002,CTRL-0202,2794351.155415046,SINPE del Segmento 2,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0202
SINPE-002,CTRL-0203,2794351.155415046,SINPE del Segmento 2,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0203
SINPE-002,CTRL-0204,2794351.155415046,SINPE del Segmento 2,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0204
SINPE-002,CTRL-0205,2794351.155415046,SINPE del Segmento 2,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0205
SINPE-002,CTRL-0206,2794351.155415046,SINPE del Segmento 2,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0206
SINPE-003,CTRL-0301,2794351.155415046,SINPE del Segmento 3,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0301
SINPE-003,CTRL-0302,2794351.155415046,SINPE del Segmento 3,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0302
SINPE-003,CTRL-0303,2794351.155415046,SINPE del Segmento 3,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0303
SINPE-003,CTRL-0304,2794351.155415046,SINPE del Segmento 3,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0304
SINPE-003,CTRL-0305,2794351.155415046,SINPE del Segmento 3,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0305
SINPE-003,CTRL-0306,2794351.155415046,SINPE del Segmento 3,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0306
SINPE-004,CTRL-0401,2794351.155415046,SINPE del Segmento 4,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0401
SINPE-004,CTRL-0402,2794351.155415046,SINPE del Segmento 4,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0402
SINPE-004,CTRL-0403,2794351.155415046,SINPE del Segmento 4,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0403
SINPE-004,CTRL-0404,2794351.155415046,SINPE del Segmento 4,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0404
SINPE-004,CTRL-0405,2794351.155415046,SINPE del Segmento 4,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0405
SINPE-004,CTRL-0406,2794351.155415046,SINPE del Segmento 4,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0406
SINPE-005,CTRL-0501,2794351.155415046,SINPE del Segmento 5,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0501
SINPE-005,CTRL-0502,2794351.155415046,SINPE del Segmento 5,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0502
SINPE-005,CTRL-0503,2794351.155415046,SINPE del Segmento 5,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0503
SINPE-005,CTRL-0504,2794351.155415046,SINPE del Segmento 5,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0504
SINPE-005,CTRL-0505,2794351.155415046,SINPE del Segmento 5,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0505
SINPE-005,CTRL-0506,2794351.155415046,SINPE del Segmento 5,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0506
SINPE-006,CTRL-0601,2794351.155415046,SINPE del Segmento 6,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0601
SINPE-006,CTRL-0602,2794351.155415046,SINPE del Segmento 6,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0602
SINPE-006,CTRL-0603,2794351.155415046,SINPE del Segmento 6,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,-222623.73368217656,-0.07966920451309928,CTRL-0603
